official verifier: 1734/1983 Result.txt files pass
fleet_master_h100_v3 1703 / 1952 pass; 1 / 1 fleet files pass
joint_itinerary_h100_v8 31 / 31 pass; 0 / 0 fleet files pass
FAIL results/gtoc12/runs/fleet_master_h100_v3/columns/cluster_fleet_h100_v1__clusters__family_0002/ship_02/Result.txt {'ok': False, 'ships': None, 'mined_asteroids': None, 'total_mass_kg': None, 'return_code': 0, 'wall_seconds': 0.0884267030050978, 'message': 'Error803. Mining Data Error on the line2282: The mass change of the Mining Ship does not match the mass of the miner on the first rendezvous to the asteroid (exceeding the allowable error).'}
FAIL results/gtoc12/runs/fleet_master_h100_v3/columns/cluster_fleet_h100_v1__clusters__family_0005/ship_02/Result.txt {'ok': False, 'ships': None, 'mined_asteroids': None, 'total_mass_kg': None, 'return_code': 0, 'wall_seconds': 0.08686940399638843, 'message': 'Error803. Mining Data Error on the line2659: The mass change of the Mining Ship does not match the mass of the miner on the first rendezvous to the asteroid (exceeding the allowable error).'}
FAIL results/gtoc12/runs/fleet_master_h100_v3/columns/cluster_fleet_h100_v1__clusters__family_0006/ship_02/Result.txt {'ok': False, 'ships': None, 'mined_asteroids': None, 'total_mass_kg': None, 'return_code': 0, 'wall_seconds': 0.08674866899673361, 'message': 'Error803. Mining Data Error on the line2145: The mass change of the Mining Ship does not match the mass of the miner on the first rendezvous to the asteroid (exceeding the allowable error).'}
FAIL results/gtoc12/runs/fleet_master_h100_v3/columns/cluster_fleet_h100_v1__clusters__family_0016/ship_03/Result.txt {'ok': False, 'ships': None, 'mined_asteroids': None, 'total_mass_kg': None, 'return_code': 0, 'wall_seconds': 0.08826646899979096, 'message': 'Error803. Mining Data Error on the line2841: The mass change of the Mining Ship does not match the mass of the miner on the first rendezvous to the asteroid (exceeding the allowable error).'}
FAIL results/gtoc12/runs/fleet_master_h100_v3/columns/cluster_fleet_h100_v1__clusters__family_0017/ship_03/Result.txt {'ok': False, 'ships': None, 'mined_asteroids': None, 'total_mass_kg': None, 'return_code': 0, 'wall_seconds': 0.08860406200255966, 'message': 'Error803. Mining Data Error on the line2655: The mass change of the Mining Ship does not match the mass of the miner on the first rendezvous to the asteroid (exceeding the allowable error).'}
FAIL results/gtoc12/runs/fleet_master_h100_v3/columns/cluster_fleet_h100_v1__clusters__family_0023/ship_03/Result.txt {'ok': False, 'ships': None, 'mined_asteroids': None, 'total_mass_kg': None, 'return_code': 0, 'wall_seconds': 0.08924105799815152, 'message': 'Error803. Mining Data Error on the line3917: The mass change of the Mining Ship does not match the mass of the miner on the first rendezvous to the asteroid (exceeding the allowable error).'}
FAIL results/gtoc12/runs/fleet_master_h100_v3/columns/cluster_fleet_h100_v1__clusters__family_0025/ship_03/Result.txt {'ok': False, 'ships': None, 'mined_asteroids': None, 'total_mass_kg': None, 'return_code': 0, 'wall_seconds': 0.08733681500598323, 'message': 'Error803. Mining Data Error on the line2859: The mass change of the Mining Ship does not match the mass of the miner on the first rendezvous to the asteroid (exceeding the allowable error).'}
FAIL results/gtoc12/runs/fleet_master_h100_v3/columns/cluster_fleet_h100_v1__clusters__family_0028/ship_02/Result.txt {'ok': False, 'ships': None, 'mined_asteroids': None, 'total_mass_kg': None, 'return_code': 0, 'wall_seconds': 0.08735071299452102, 'message': 'Error803. Mining Data Error on the line2340: The mass change of the Mining Ship does not match the mass of the miner on the first rendezvous to the asteroid (exceeding the allowable error).'}
FAIL results/gtoc12/runs/fleet_master_h100_v3/columns/cluster_fleet_h100_v1__clusters__family_0033/ship_03/Result.txt {'ok': False, 'ships': None, 'mined_asteroids': None, 'total_mass_kg': None, 'return_code': 0, 'wall_seconds': 0.08839360199635848, 'message': 'Error803. Mining Data Error on the line3122: The mass change of the Mining Ship does not match the mass of the miner on the first rendezvous to the asteroid (exceeding the allowable error).'}
FAIL results/gtoc12/runs/fleet_master_h100_v3/columns/cluster_fleet_h100_v1__clusters__family_0033/ship_04/Result.txt {'ok': False, 'ships': None, 'mined_asteroids': None, 'total_mass_kg': None, 'return_code': 0, 'wall_seconds': 0.08923599599802401, 'message': 'Error803. Mining Data Error on the line2164: The mass change of the Mining Ship does not match the mass of the miner on the first rendezvous to the asteroid (exceeding the allowable error).'}
FAIL results/gtoc12/runs/fleet_master_h100_v3/columns/cluster_fleet_h100_v1__clusters__family_0035/ship_03/Result.txt {'ok': False, 'ships': None, 'mined_asteroids': None, 'total_mass_kg': None, 'return_code': 0, 'wall_seconds': 0.08811181200144347, 'message': 'Error803. Mining Data Error on the line2609: The mass change of the Mining Ship does not match the mass of the miner on the first rendezvous to the asteroid (exceeding the allowable error).'}
