official verifier: 2492/2826 Result.txt files pass
cluster_fleet_h100_v2 325 / 410 pass; 24 / 24 fleet files pass
joint_itinerary_h100_v1 294 / 294 pass; 0 / 0 fleet files pass
joint_itinerary_h100_v2 219 / 219 pass; 0 / 0 fleet files pass
fleet_master_h100_v2 1654 / 1903 pass; 1 / 1 fleet files pass
FAIL results/gtoc12/runs/cluster_fleet_h100_v2/clusters/family_0002/ship_02/Result.txt {'ok': False, 'ships': None, 'mined_asteroids': None, 'total_mass_kg': None, 'return_code': 0, 'wall_seconds': 0.08719836499949452, 'message': 'Error803. Mining Data Error on the line2314: The mass change of the Mining Ship does not match the mass of the miner on the first rendezvous to the asteroid (exceeding the allowable error).'}
FAIL results/gtoc12/runs/cluster_fleet_h100_v2/clusters/family_0003/ship_03/Result.txt {'ok': False, 'ships': None, 'mined_asteroids': None, 'total_mass_kg': None, 'return_code': 0, 'wall_seconds': 0.08802171600109432, 'message': 'Error803. Mining Data Error on the line2828: The mass change of the Mining Ship does not match the mass of the miner on the first rendezvous to the asteroid (exceeding the allowable error).'}
FAIL results/gtoc12/runs/cluster_fleet_h100_v2/clusters/family_0004/ship_04/Result.txt {'ok': False, 'ships': None, 'mined_asteroids': None, 'total_mass_kg': None, 'return_code': 0, 'wall_seconds': 0.08746417399379425, 'message': 'Error803. Mining Data Error on the line2598: The mass change of the Mining Ship does not match the mass of the miner on the first rendezvous to the asteroid (exceeding the allowable error).'}
FAIL results/gtoc12/runs/cluster_fleet_h100_v2/clusters/family_0006/ship_05/Result.txt {'ok': False, 'ships': None, 'mined_asteroids': None, 'total_mass_kg': None, 'return_code': 0, 'wall_seconds': 0.08812300899444381, 'message': 'Error803. Mining Data Error on the line2761: The mass change of the Mining Ship does not match the mass of the miner on the first rendezvous to the asteroid (exceeding the allowable error).'}
FAIL results/gtoc12/runs/cluster_fleet_h100_v2/clusters/family_0007/ship_04/Result.txt {'ok': False, 'ships': None, 'mined_asteroids': None, 'total_mass_kg': None, 'return_code': 0, 'wall_seconds': 0.08876999399944907, 'message': 'Error803. Mining Data Error on the line2790: The mass change of the Mining Ship does not match the mass of the miner on the first rendezvous to the asteroid (exceeding the allowable error).'}
FAIL results/gtoc12/runs/cluster_fleet_h100_v2/clusters/family_0007/ship_05/Result.txt {'ok': False, 'ships': None, 'mined_asteroids': None, 'total_mass_kg': None, 'return_code': 0, 'wall_seconds': 0.08902420399681432, 'message': 'Error803. Mining Data Error on the line2312: The mass change of the Mining Ship does not match the mass of the miner on the first rendezvous to the asteroid (exceeding the allowable error).'}
FAIL results/gtoc12/runs/cluster_fleet_h100_v2/clusters/family_0009/ship_02/Result.txt {'ok': False, 'ships': None, 'mined_asteroids': None, 'total_mass_kg': None, 'return_code': 0, 'wall_seconds': 0.08823241400386905, 'message': 'Error803. Mining Data Error on the line2683: The mass change of the Mining Ship does not match the mass of the miner on the first rendezvous to the asteroid (exceeding the allowable error).'}
FAIL results/gtoc12/runs/cluster_fleet_h100_v2/clusters/family_0009/ship_04/Result.txt {'ok': False, 'ships': None, 'mined_asteroids': None, 'total_mass_kg': None, 'return_code': 0, 'wall_seconds': 0.0868404190041474, 'message': 'Error803. Mining Data Error on the line2483: The mass change of the Mining Ship does not match the mass of the miner on the first rendezvous to the asteroid (exceeding the allowable error).'}
FAIL results/gtoc12/runs/cluster_fleet_h100_v2/clusters/family_0011/ship_05/Result.txt {'ok': False, 'ships': None, 'mined_asteroids': None, 'total_mass_kg': None, 'return_code': 0, 'wall_seconds': 0.08773191100044642, 'message': 'Error803. Mining Data Error on the line3679: The mass change of the Mining Ship does not match the mass of the miner on the first rendezvous to the asteroid (exceeding the allowable error).'}
FAIL results/gtoc12/runs/cluster_fleet_h100_v2/clusters/family_0012/ship_04/Result.txt {'ok': False, 'ships': None, 'mined_asteroids': None, 'total_mass_kg': None, 'return_code': 0, 'wall_seconds': 0.08352730899787275, 'message': 'Error803. Mining Data Error on the line1300: The mass change of the Mining Ship does not match the mass of the miner on the first rendezvous to the asteroid (exceeding the allowable error).'}
FAIL results/gtoc12/runs/cluster_fleet_h100_v2/clusters/family_0015/ship_04/Result.txt {'ok': False, 'ships': None, 'mined_asteroids': None, 'total_mass_kg': None, 'return_code': 0, 'wall_seconds': 0.0882927920029033, 'message': 'Error803. Mining Data Error on the line3166: The mass change of the Mining Ship does not match the mass of the miner on the first rendezvous to the asteroid (exceeding the allowable error).'}
FAIL results/gtoc12/runs/cluster_fleet_h100_v2/clusters/family_0017/ship_05/Result.txt {'ok': False, 'ships': None, 'mined_asteroids': None, 'total_mass_kg': None, 'return_code': 0, 'wall_seconds': 0.08923358400352299, 'message': 'Error803. Mining Data Error on the line3193: The mass change of the Mining Ship does not match the mass of the miner on the first rendezvous to the asteroid (exceeding the allowable error).'}
FAIL results/gtoc12/runs/cluster_fleet_h100_v2/clusters/family_0018/ship_02/Result.txt {'ok': False, 'ships': None, 'mined_asteroids': None, 'total_mass_kg': None, 'return_code': 0, 'wall_seconds': 0.08806592700420879, 'message': 'Error803. Mining Data Error on the line2609: The mass change of the Mining Ship does not match the mass of the miner on the first rendezvous to the asteroid (exceeding the allowable error).'}
FAIL results/gtoc12/runs/cluster_fleet_h100_v2/clusters/family_0018/ship_04/Result.txt {'ok': False, 'ships': None, 'mined_asteroids': None, 'total_mass_kg': None, 'return_code': 0, 'wall_seconds': 0.08813265299977502, 'message': 'Error803. Mining Data Error on the line2723: The mass change of the Mining Ship does not match the mass of the miner on the first rendezvous to the asteroid (exceeding the allowable error).'}
