official verifier: 2367/2667 Result.txt files pass
fleet_master_v10 2165 / 2445 pass; 1 / 1 fleet files pass
cluster_fleet_v10 76 / 86 pass; 25 / 25 fleet files pass
cluster_fleet_v10_control 79 / 89 pass; 26 / 26 fleet files pass
joint_itinerary_v10 47 / 47 pass; 0 / 0 fleet files pass
FAIL results/gtoc12/runs/fleet_master_v10/columns/cluster_fleet_h100_v1__clusters__family_0002/ship_02/Result.txt {'ok': False, 'ships': None, 'mined_asteroids': None, 'total_mass_kg': None, 'return_code': 0, 'wall_seconds': 0.08707218599738553, 'message': 'Error803. Mining Data Error on the line2282: The mass change of the Mining Ship does not match the mass of the miner on the first rendezvous to the asteroid (exceeding the allowable error).'}
FAIL results/gtoc12/runs/fleet_master_v10/columns/cluster_fleet_h100_v1__clusters__family_0005/ship_02/Result.txt {'ok': False, 'ships': None, 'mined_asteroids': None, 'total_mass_kg': None, 'return_code': 0, 'wall_seconds': 0.08735929601243697, 'message': 'Error803. Mining Data Error on the line2659: The mass change of the Mining Ship does not match the mass of the miner on the first rendezvous to the asteroid (exceeding the allowable error).'}
FAIL results/gtoc12/runs/fleet_master_v10/columns/cluster_fleet_h100_v1__clusters__family_0006/ship_02/Result.txt {'ok': False, 'ships': None, 'mined_asteroids': None, 'total_mass_kg': None, 'return_code': 0, 'wall_seconds': 0.0866535030072555, 'message': 'Error803. Mining Data Error on the line2145: The mass change of the Mining Ship does not match the mass of the miner on the first rendezvous to the asteroid (exceeding the allowable error).'}
FAIL results/gtoc12/runs/fleet_master_v10/columns/cluster_fleet_h100_v1__clusters__family_0016/ship_03/Result.txt {'ok': False, 'ships': None, 'mined_asteroids': None, 'total_mass_kg': None, 'return_code': 0, 'wall_seconds': 0.08812520900391974, 'message': 'Error803. Mining Data Error on the line2841: The mass change of the Mining Ship does not match the mass of the miner on the first rendezvous to the asteroid (exceeding the allowable error).'}
FAIL results/gtoc12/runs/fleet_master_v10/columns/cluster_fleet_h100_v1__clusters__family_0017/ship_03/Result.txt {'ok': False, 'ships': None, 'mined_asteroids': None, 'total_mass_kg': None, 'return_code': 0, 'wall_seconds': 0.08688896799867507, 'message': 'Error803. Mining Data Error on the line2655: The mass change of the Mining Ship does not match the mass of the miner on the first rendezvous to the asteroid (exceeding the allowable error).'}
FAIL results/gtoc12/runs/fleet_master_v10/columns/cluster_fleet_h100_v1__clusters__family_0023/ship_03/Result.txt {'ok': False, 'ships': None, 'mined_asteroids': None, 'total_mass_kg': None, 'return_code': 0, 'wall_seconds': 0.08812795000267215, 'message': 'Error803. Mining Data Error on the line3917: The mass change of the Mining Ship does not match the mass of the miner on the first rendezvous to the asteroid (exceeding the allowable error).'}
FAIL results/gtoc12/runs/fleet_master_v10/columns/cluster_fleet_h100_v1__clusters__family_0025/ship_03/Result.txt {'ok': False, 'ships': None, 'mined_asteroids': None, 'total_mass_kg': None, 'return_code': 0, 'wall_seconds': 0.08768481999868527, 'message': 'Error803. Mining Data Error on the line2859: The mass change of the Mining Ship does not match the mass of the miner on the first rendezvous to the asteroid (exceeding the allowable error).'}
FAIL results/gtoc12/runs/fleet_master_v10/columns/cluster_fleet_h100_v1__clusters__family_0028/ship_02/Result.txt {'ok': False, 'ships': None, 'mined_asteroids': None, 'total_mass_kg': None, 'return_code': 0, 'wall_seconds': 0.08770052599720657, 'message': 'Error803. Mining Data Error on the line2340: The mass change of the Mining Ship does not match the mass of the miner on the first rendezvous to the asteroid (exceeding the allowable error).'}
FAIL results/gtoc12/runs/fleet_master_v10/columns/cluster_fleet_h100_v1__clusters__family_0033/ship_03/Result.txt {'ok': False, 'ships': None, 'mined_asteroids': None, 'total_mass_kg': None, 'return_code': 0, 'wall_seconds': 0.08710426300240215, 'message': 'Error803. Mining Data Error on the line3122: The mass change of the Mining Ship does not match the mass of the miner on the first rendezvous to the asteroid (exceeding the allowable error).'}
FAIL results/gtoc12/runs/fleet_master_v10/columns/cluster_fleet_h100_v1__clusters__family_0033/ship_04/Result.txt {'ok': False, 'ships': None, 'mined_asteroids': None, 'total_mass_kg': None, 'return_code': 0, 'wall_seconds': 0.08768774000054691, 'message': 'Error803. Mining Data Error on the line2164: The mass change of the Mining Ship does not match the mass of the miner on the first rendezvous to the asteroid (exceeding the allowable error).'}
FAIL results/gtoc12/runs/fleet_master_v10/columns/cluster_fleet_h100_v1__clusters__family_0035/ship_03/Result.txt {'ok': False, 'ships': None, 'mined_asteroids': None, 'total_mass_kg': None, 'return_code': 0, 'wall_seconds': 0.0875908320012968, 'message': 'Error803. Mining Data Error on the line2609: The mass change of the Mining Ship does not match the mass of the miner on the first rendezvous to the asteroid (exceeding the allowable error).'}
FAIL results/gtoc12/runs/fleet_master_v10/columns/cluster_fleet_h100_v1__clusters__family_0065/ship_03/Result.txt {'ok': False, 'ships': None, 'mined_asteroids': None, 'total_mass_kg': None, 'return_code': 0, 'wall_seconds': 0.08714779200090561, 'message': 'Error803. Mining Data Error on the line2074: The mass change of the Mining Ship does not match the mass of the miner on the first rendezvous to the asteroid (exceeding the allowable error).'}
FAIL results/gtoc12/runs/fleet_master_v10/columns/cluster_fleet_h100_v1__clusters__family_0096/ship_03/Result.txt {'ok': False, 'ships': None, 'mined_asteroids': None, 'total_mass_kg': None, 'return_code': 0, 'wall_seconds': 0.0884822620137129, 'message': 'Error803. Mining Data Error on the line2909: The mass change of the Mining Ship does not match the mass of the miner on the first rendezvous to the asteroid (exceeding the allowable error).'}
FAIL results/gtoc12/runs/fleet_master_v10/columns/cluster_fleet_h100_v1__clusters__family_0103/ship_03/Result.txt {'ok': False, 'ships': None, 'mined_asteroids': None, 'total_mass_kg': None, 'return_code': 0, 'wall_seconds': 0.08686376400873996, 'message': 'Error803. Mining Data Error on the line2783: The mass change of the Mining Ship does not match the mass of the miner on the first rendezvous to the asteroid (exceeding the allowable error).'}
FAIL results/gtoc12/runs/fleet_master_v10/columns/cluster_fleet_h100_v2__clusters__family_0002/ship_02/Result.txt {'ok': False, 'ships': None, 'mined_asteroids': None, 'total_mass_kg': None, 'return_code': 0, 'wall_seconds': 0.08744780899723992, 'message': 'Error803. Mining Data Error on the line2314: The mass change of the Mining Ship does not match the mass of the miner on the first rendezvous to the asteroid (exceeding the allowable error).'}
master fleet: [{'run': 'fleet_master_v10', 'path': 'results/gtoc12/runs/fleet_master_v10/fleet/Result.txt', 'ok': True, 'ships': 23, 'mined_asteroids': 193, 'total_mass_kg': 14044.8, 'return_code': 0, 'wall_seconds': 0.3554883150063688, 'message': 'Check successfully!'}]
