  ID    epoch(MJD)       a(AU)            e             i(deg)         LAN(deg)      argperi(deg)       M(deg)
    1   64328        3.073000e+00    1.177000e-01    1.745000e+01    1.403000e+01    1.830000e+00    3.053207e+02
    2   64328        3.193000e+00    2.341000e-01    2.631000e+01    2.170900e+02    1.312800e+02    1.726297e+02
    3   64328        3.142000e+00    5.460000e-02    5.280000e+00    2.139500e+02    1.776000e+01    1.329012e+02
    4   64328        2.385000e+00    1.173000e-01    1.900000e+00    2.594900e+02    2.967800e+02    2.173220e+02
    5   64328        3.070000e+00    1.168000e-01    8.860000e+00    1.854200e+02    2.715500e+02    1.889253e+02
    6   64328        2.634000e+00    2.943000e-01    1.386000e+01    2.047000e+01    3.498900e+02    2.514172e+02
    7   64328        3.088000e+00    1.139000e-01    8.740000e+00    3.078200e+02    6.029000e+01    2.623917e+02
    8   64328        2.713000e+00    1.494000e-01    1.167000e+01    5.021000e+01    3.304200e+02    2.505017e+02
    9   64328        3.057000e+00    6.460000e-02    9.360000e+00    2.190100e+02    1.385600e+02    6.629320e+01
   10   64328        2.878000e+00    1.447000e-01    1.874000e+01    1.061800e+02    2.234000e+02    2.691392e+02
   11   64328        2.634000e+00    1.306000e-01    3.380000e+00    2.441900e+02    2.792400e+02    3.414572e+02
   12   64328        3.177000e+00    1.250000e-01    2.589000e+01    2.976400e+02    1.334000e+02    3.597661e+02
   13   64328        3.079000e+00    7.640000e-02    8.470000e+00    2.574900e+02    1.994800e+02    2.174803e+02
   14   64328        2.362000e+00    2.080000e-01    2.319000e+01    7.220000e+00    2.649700e+02    1.530828e+02
   15   64328        2.557000e+00    1.771000e-01    1.246000e+01    1.745900e+02    3.570800e+02    1.433565e+02
   16   64328        3.166000e+00    1.010000e-01    5.080000e+00    1.145600e+02    1.721100e+02    1.026069e+02
   17   64328        2.698000e+00    1.395000e-01    1.268000e+01    7.937000e+01    1.553400e+02    2.324420e+02
   18   64328        3.109000e+00    1.265000e-01    2.070000e+00    1.182100e+02    1.305900e+02    1.462531e+02
   19   64328        3.074000e+00    1.345000e-01    1.010000e+01    1.593200e+02    2.667000e+02    3.046564e+02
   20   64328        2.360000e+00    2.427000e-01    1.035000e+01    9.295000e+01    2.915900e+02    3.295559e+02
   21   64328        2.705000e+00    2.049000e-01    1.770000e+00    2.720900e+02    7.839000e+01    7.554547e+01
   22   64328        3.161000e+00    1.992000e-01    9.940000e+00    1.704200e+02    1.186600e+02    6.615735e+01
